Dissolved oxygen and aeration in ictalurid catfish aquaculture	https://onlinelibrary.wiley.com/doi/abs/10.1111/jwas.12469
"Economics of shrimp aquaculture and factors associated with shrimp aquaculture in Navsari district of Gujarat, India"	https://www.researchgate.net/profile/Nalini_Kumar/publication/303015517_Economics_of_shrimp_aquaculture_and_factors_associated_with_shrimp_aquaculture_in_Navsari_District_of_Gujarat_India_1/links/581040be08aee15d49121722/Economics-of-shrimp-aquaculture-and-factors-associated-with-shrimp-aquaculture-in-Navsari-District-of-Gujarat-India-1.pdf
O1D. 4 Occupational exposure to formaldehyde in france in 2015	https://oem.bmj.com/content/76/Suppl_1/A10.1.abstract
Technical efficiency of tank culture systems in peninsular Malaysia: an application of data envelopment analysis	https://www.tandfonline.com/doi/abs/10.1080/13657305.2015.1082118
"Aquaculture zoning, site selection and area management under the ecosystem approach to aquaculture. A handbook."	https://www.cabdirect.org/cabdirect/abstract/20183279398
Principal component analysis and long short-term memory neural network for predicting dissolved oxygen in water for aquaculture.	https://www.cabdirect.org/cabdirect/abstract/20183344423
Improving feed conversion ratio and its impact on reducing greenhouse gas emissions in aquaculture.	https://www.cabdirect.org/cabdirect/abstract/20183279403
"Establishment and practice of talent training mode of"" work and study alternation, job rotation"" in aquaculture technology specialty of higher vocational colleges."	https://www.cabdirect.org/cabdirect/abstract/20183057811
"Effects of climate change on aquaculture production and management in Akure Metropolis, Ondo State, Nigeri."	https://www.cabdirect.org/cabdirect/abstract/20163237442
Transforming the aquaculture industry in Malaysia.	https://www.cabdirect.org/cabdirect/abstract/20173233336
Research progress on key technologies of underwater operation robot for aquaculture.	https://www.cabdirect.org/cabdirect/abstract/20183344362
Hatchery-reared Japanese eel Anguilla japonica larvae ingest various organic matter formed as part of marine snow.	https://www.cabdirect.org/cabdirect/abstract/20153347739
Aquaculture insurance in Viet Nam: experiences from the pilot programme.	https://www.cabdirect.org/cabdirect/abstract/20183138710
Microalgal bacterial flocs originating from aquaculture wastewater treatment as diet ingredient for Litopenaeus vannamei (Boone).	https://www.cabdirect.org/cabdirect/abstract/20163120730
Aquaculture review: South Africa.	https://www.cabdirect.org/cabdirect/abstract/20173048579
Characterization of aquatic bacterial community of Litopenaeus vannamei larvae during hatchery period with high-throughput sequencing.	https://www.cabdirect.org/cabdirect/abstract/20173243477
"Gender, flexibility and the'ideal tourism worker'."	https://www.cabdirect.org/cabdirect/abstract/20173181226
A review: research progress of biology in ark shell Scapharca subcrenata insight from aquaculture.	https://www.cabdirect.org/cabdirect/abstract/20163149988
Removal of ammonia and nitrite nitrogen in aquaculture water by two species of microalgae.	https://www.cabdirect.org/cabdirect/abstract/20183239856
Application of high-throughput sequencing for analyzing bacterial communities in earthen ponds of sea cucumber aquaculture in northern China.	https://www.cabdirect.org/cabdirect/abstract/20163200639
Hydrodynamic characteristics of plane netting used for aquaculture net cages in uniform current.	https://www.cabdirect.org/cabdirect/abstract/20163298363
A potential tissue culture approach for the phytoremediation of dyes in aquaculture industry.	https://www.cabdirect.org/cabdirect/abstract/20163356937
Aquaculture in Cameroon and potential of lactic acid bacteria to be used as diseases controlling agents. A review.	https://www.cabdirect.org/cabdirect/abstract/20153392315
Fish farm challenge provides STEM design experiences for youth.	https://www.cabdirect.org/cabdirect/abstract/20153320035
"Morphology and parentage association of shortened upper jaw deformity in hatchery-produced Japanese flounder, Paralichthys olivaceus (Temminck & Schlegel …"	https://www.cabdirect.org/cabdirect/abstract/20163212445
Carbon metabolism of microbial communities in biofilters of recirculating aquaculture system cultured with Anguilla marmorata.	https://www.cabdirect.org/cabdirect/abstract/20163051778
"Work environment and its effect on job satisfaction in cooperative sugar factories in Maharashtra, India."	https://www.cabdirect.org/cabdirect/abstract/20153253152
Impact of quality of work life on job satisfaction.	https://www.cabdirect.org/cabdirect/abstract/20153122771
Occupational health hazards prevailing among healthcare workers in developing countries.	https://www.cabdirect.org/cabdirect/abstract/20163350994
The time and nature worker: his story.	https://www.cabdirect.org/cabdirect/abstract/20153371201
Occupational Hazards in veterinarians: an updating.	https://www.cabdirect.org/cabdirect/abstract/20163263437
The influence of Organizational Citizenship Behavior (OCB) on employee's job satisfaction and performance.	https://www.cabdirect.org/cabdirect/abstract/20193029541
Small job with full rights.	https://www.cabdirect.org/cabdirect/abstract/20153006486
Inter and intra termites colonies comparisons of gut microbial diversity from worker and soldier caste of Globitermes sulphureus (Blattodea: Termitidae) using 16S …	https://www.cabdirect.org/cabdirect/abstract/20193038898
Exploring the effect of staff achievement on job satisfaction in Hong Kong residential clubhouse.	https://www.cabdirect.org/cabdirect/abstract/20173117455
Improved farm tools for women worker to increase productivity and reduce drudgery-an assessment.	https://www.cabdirect.org/cabdirect/abstract/20153353083
Anthropometric assessment of women worker in selected hosiery units of Ludhiana City.	https://www.cabdirect.org/cabdirect/abstract/20183275856
Institutional and occupational development of foundations (GDF) and its experts on land market: a case study in Turkey.	https://www.cabdirect.org/cabdirect/abstract/20153156451
Personal attitude construct analysis of new farm worker socialization in village farming corporations.	https://www.cabdirect.org/cabdirect/abstract/20183246995
"Occupational stress among nurses of tertiary care hospitals in Karachi, Pakistan."	https://www.cabdirect.org/cabdirect/abstract/20173102495
Labor market and the job nationalization policy: a trajectory of hospitality and tourism strategy in Saudi Arabia.	https://www.cabdirect.org/cabdirect/abstract/20153243573
Work values orientation and job satisfaction of development personnel: a study of an NGO.	https://www.cabdirect.org/cabdirect/abstract/20153325932
Conservation in geographical perspective.	https://www.cabdirect.org/cabdirect/abstract/20153210457
Application of the Social Cognitive Career theory to investigating the factors influencing rural youth'intention toward job in agriculture sector (the case of Baghmalek …	https://www.cabdirect.org/cabdirect/abstract/20173289965
Job satisfaction and motivation among clinicians and health managers working in public sector of Federally Administered Tribal Areas of Pakistan.	https://www.cabdirect.org/cabdirect/abstract/20153432096
The impact of organizational justice on job engagement: an application in hotels.	https://www.cabdirect.org/cabdirect/abstract/20163375127
"The relationship between emotional intelligence and occupational stress among managers, trainers and lifeguards of Eastern Azerbaijan Province swimming pools."	https://www.cabdirect.org/cabdirect/abstract/20153122789
Assessment of occupational stress and associated burnout among locomotive drivers in Iran.	https://www.cabdirect.org/cabdirect/abstract/20183312549
"Assessment of job performance of forest guards in India: relationship with job motivation, satisfaction, stress and other critical factors."	https://www.cabdirect.org/cabdirect/abstract/20153314753
Environmental and occupational risk factors associated with lung cancer.	https://www.cabdirect.org/cabdirect/abstract/20153184415
Labor and skill shortage crises: the effects of employee's attitude and job satisfaction.	https://www.cabdirect.org/cabdirect/abstract/20163023231
